ID,캐릭터이름,대사,SprtieName
0,,- 순식간에 건물은 불 타 무너지고 있었다. 그 건물 앞에서 무력하게 쓰러져 있던 테포르는 유리 조각보다 더 가슴을 찌르는 무언가에 아파했다.,
,,- 온몸에 상처투성이인 테포르는 열흘이 지나서야 병실에서 깨어났으며 처음으로 본 천장이 어느 순간 흐릿해지고 일그러지고 있었다. ,
2,레이,테포르' 그 소식 들었어?,
1,테포르,!!! 큽.. .하마터면... 내 오른쪽 엄지발가락하고 이별할뻔했어..,
2,레이,아' 미안... 안 다쳤어?,
1,테포르,다행이... 피했어..  휴... 근데' 뭐가 큰일이야?,
2,레이,그게' 마을에 코로니움이 들어 왔대.,
1,테포르,정말?!,
2,레이,으...응.,
1,테포르,어' 어디 있는데?! 누가 파는거야?!,
2,레이,아' 그니까' 마을에 상가에.... 우욱' 그만 흔들어! ,
1,테포르,컥.. ,
2,레이,휴' 테포르. 그래도 그 것때문에 너희 부모님이..,
1,테포르,켁켁' 그래도 아버지가 그걸로 만들고 싶어하셨으니까... ,
2,레이,그렇구나... 그래도 가격 꽤 나갈거야.,
1,테포르,응' 그래서 힘... 내야지...,
