ID,캐릭터이름,대사,SprtieName
3,???,오랜만입니다. 테포르씨,
1,테포르,앗! 깜짝 놀랐네.. 저기요? 갑자기 이렇게 오시면 곤란합니다. ,
3,???,이 시간 쯤되면 의뢰한 물건이 다되어 있을 것 같더군요. \n 이건가?,
1,테포르,멋대로네... 완전... ,
2,레이,테포르! 잘 있었어?! \n 어? 손님이 와 계셨구나.,
3,???,흠' 이 정도면 다른 대보단 못하긴 하지만 쓸만하군요. ,
1,테포르,어이! 그럴게 폄하할거면 맡기질 말던가! ,
2,레이,뭐야' 이상한 사람이네.. ,
3,???,안그래도 걱정했는데 이렇게나 잘 해내 주었네요. ,
1,테포르,네? 갑자기 무슨,
3,???,그 날' 코로니움 사고에 휘말려서 저도 가족들을 잃을 뒤엔 매일 먼 산만 보고 지내었죠. ,
1,테포르,!!!,
3,???,그 일은 테포르씨의 무능함때문에 일어난 일이 아닙니다.  \n그렇다고 무능한다거나 그런 뜻도 아니죠. ,
,,이만 가보겠습니다. 더 시간쓰면 위에서 혼내거든요. ,
0,,갑자기 전과 같이 바람이 한 차례 그 세 사람을 휩쓸고 지나갔다. \n저번처럼 그 검은 복장의 인물은 사라져버렸다.,
2,레이,요 며칠사이 열심히 만들던게 저분이 의뢰한 물건이였구나. \n 게다가 엄청 수상하고...,
1,테포르,이상하지. ,
,,그래도 다음부턴 안 올 생각인가봐. ,
2,레이,아 맞다! 테포르! 며칠 뒤에 촌장님이 잔치를 여신다는데 올거지?,
1,테포르,잔치를 열 만한 일이 있었나?,
2,레이,뭐' 워낙 별나시니까. 기분이라면서 벌이신 거 같은걸.,
,,아무튼 올 거니?,
