ID,캐릭터이름,대사,SprtieName
0,,오래 전' 한 때 도시였으나 알 수 없는 괴물들에게 피해를 입어 무너지고  많은 사람들이 떠난 탓에 지금은 작은 마을 수준의 사람들만 남은,
,,"그곳에 낡은 대장간을 운영하며 사는 소년 ""테포르""가 있었다.",
,,그 소년은 밍기적 거리며 대장간 일은 마다하고 의자에 앉아 쉬며 시간을 보내고 있었다.,
,,그렇게 시간은 그에게 있어서 아무 의미 없이 흘러가고 사라져갔다. ,
,,어김없이 시간을 어두운 대장간 천장만 바라보며 보내던 그에게 누군가 다가와 그의 얼굴에 무언가를 덮어씌웠다.,
1,테포르,어푸풉! 뭐야? 누구인가 했더니  우리 대장간 아래 사는 천마녀잖아?,
,,퍽!,
1,테포르,윽... ,
,,아무튼' 웬일이야?,
2,레이,테포르! 오늘도 대장간에 불이 안들어 왔잖아!,
0,,"마을의 옷 가게를 부모님과 함께 운영하고 있으며 테포르의 소꿉친구인 ""레이""가 그를 찾아 왔다. ",
,,레이는 테포르에게 늘 그렇듯 으름장을 늘어놓았다. 테포르는 자기를 얼굴을 덮어 씌운 천을 돌돌 말아 레이에게 돌려주었다.,
1,테포르,앞으로 이 곳에 다시 불 지필 일 없을 걸.. ,
0,,테포르는 먼지 쌓인 모루를 잠깐 바라보고는 레이를 등진 채 말했다. ,
,,그러자 레이는 자신이 가져온 바구니를 선반에 올려 놓으며 말했다.,
2,레이,그래? 하지만 이제 다시 망치질 좀 해야할 거 같은데? ,
1,테포르,엥?,
0,,레이는 바구니에서 종이 하나를 꺼내어 테포르에게 건내 주었다. ,
1,테포르,이건... 검 두 자루를 만들라고? 갑자기?,
2,레이,주변에 괴물들 수가 늘어 났나봐. 마을 보안차원을 위함이라는데 부탁한다고 촌장님이 전해달래. ,
,,테포르' 이제 게으름 좀 그만 피우고 다시 일해 보는게 어때? ,
