ID,캐릭터이름,대사,SprtieName
0,,- 쾅!!,
0,,- 큰 폭발이 일어 났다. 테포르가 나온 10층 건물의 유리 창들이 전부 깨져 유리 파편이 사방에 튕겨져 나갔다.,
,,- 테포르는 폭풍에 의해 건물에서 수 미터 나뒹굴었다. ,
,,- 희미해져 가는 정신을 부여잡으며 건물을 향해 손을 뻗어나갔다.,
2,레이,테포르! ,
1,테포르,앗 깜짝이야! 뭐야 레이. ,
2,레이,헤헤' 게으름 피우나 해서~,
1,테포르,으윽' 어릴 때나 지금이나,
2,레이,자' 이번에도 촌장님이 부탁하신거,
1,테포르,환도 두 자루? ,
2,레이,요즘 네가 다시 활발해진거 같아 다행이야.,
1,테포르,뭘 그렇게 으슥해? ,
2,레이,그거야 다 내가 친히 널 보살폈기 때문이지 안그래?,
1,테포르,음... 안 그럴...,
0,,테포르는 곧 레이의 오른손에 자신이 담금질하다 둔 작업용 망치에 손이 가고 있다는 걸 보고 말을 멈추었다.,
1,레이,응? 뭐라고?,
1,테포르,아~ 그럼요~ 다 레이님 덕분이지요.,
2,레이,헤헤,
